USA    15.68   313.91  m  5
China   8.36    13.5   b  0
Japan   5.96   127.56  m  0
Germany 3.40    81.89  m  4
France  2.61    65.7   m  4
UK      2.44    63.23  m  4
Brazil  2.25   198.66  m  6
Russia  2.01   143.53  m  0
India   1.84    12.4   b  0
